ip_match,device_match,hour_deviation,failed_attempts,geo_risk,browser_change,label
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,1,0,0,0
1,1,2,1,0,0,0
1,1,0,1,0,0,0
1,1,0,1,0,0,0
1,1,2,0,0,0,0
1,1,1,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
1,1,2,0,0,0,0
1,1,2,0,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,2,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,2,0,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,2,1,0,0,0
